번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,부산광역시 중구청,흑교로 74,보수동1가 50-1,다목적,3,200,360도 전방면,30,2018-09,051-600-4172,35.10346759,129.0339846,2022-06-08
2,부산광역시 중구청,영주로24번길 5-1,영주동 284-3,다목적,3,200,360도 전방면,30,2018-09,051-600-4172,35.10492566,129.0287177,2022-06-08
3,부산광역시 중구청,대청북길16번길8,대청동4가 78-76,다목적,1,200,360도 전방면,30,2018-09,051-600-4172,35.10603812,129.021683,2022-06-08
4,부산광역시 중구청,망양로 369,영주동 239-27,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.0979819,129.0341597,2022-06-08
5,부산광역시 중구청,중구로 148,동광동5가 3-175,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.09731383,129.0350904,2022-06-08
6,부산광역시 중구청,광복로 6-1,부평동2가 33-7,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.11497317,129.0301512,2022-06-08
7,부산광역시 중구청,흑교로 81번길 4,보수동2가 45,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.11049399,129.039296,2022-06-08
8,부산광역시 중구청,대청로 141번길 18-3,중앙동4가 36-17,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.10555678,129.0312818,2022-06-08
9,부산광역시 중구청,부평1길 59,부평동2가 76-1,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.09830429,129.025457,2022-06-08
10,부산광역시 중구청,중구로 46,신창동4가 41-3,다목적,1,200,360도 전방면,30,2019-07,051-600-4172,35.10490937,129.0236553,2022-06-08
11,부산광역시 중구청,흑교로35번길 7,부평동3가 76-1,다목적,1,200,360도 전방면,30,2016-06,051-600-4172,35.10837005,129.0245086,2022-06-08
12,부산광역시 중구청,대교로 116,중앙동6가 8,다목적,1,200,360도 전방면,30,2016-06,051-600-4172,35.10372443,129.0276922,2022-06-08
13,부산광역시 중구청,용두산길 37-18,동광동2가 17-6,다목적,1,200,360도 전방면,30,2016-06,051-600-4172,35.11153975,129.0293949,2022-06-08
14,부산광역시 중구청,보수대로124번길 25-2,보수동2가 63-6,다목적,3,200,360도 전방면,30,2016-06,051-600-4172,35.11056152,129.0294759,2022-06-08
15,부산광역시 중구청,용미길10번길 11,남포동1가 62-12,다목적,3,200,360도 전방면,30,2013-12,051-600-4172,35.10542545,129.0279317,2022-06-08
16,부산광역시 중구청,샘길 31,동광동5가 53-9,다목적,2,200,360도 전방면,30,2013-12,051-600-4172,35.11105005,129.0360242,2022-06-08
17,부산광역시 중구청,구덕로 31,남포동4가 18-2,다목적,3,200,360도 전방면,30,2014-06,051-600-4172,35.10607045,129.0242806,2022-06-08
18,부산광역시 중구청,대청로 141번길 18-3,중앙동4가 36-17,다목적,2,200,360도 전방면,30,2015-12,051-600-4172,35.11016968,129.0313481,2022-06-08
19,부산광역시 중구청,망양로 369,영주동 239-27,다목적,1,200,360도 전방면,30,2015-12,051-600-4172,35.10542182,129.0296555,2022-06-08
20,부산광역시 중구청,대청로 22,부평동4가 60,다목적,4,200,360도 전방면,30,2015-12,051-600-4172,35.1097431,129.0303461,2022-06-08
21,부산광역시 중구청,동영로86번길 12,영주동 775-20,다목적,2,200,360도 전방면,30,2016-05,051-600-4172,35.10828548,129.0351527,2022-06-08
22,부산광역시 중구청,동영로73번길 57,영주동 295,다목적,3,200,360도 전방면,30,2016-05,051-600-4172,35.0993941,129.0258173,2022-06-08
23,부산광역시 중구청,고가길 72,보수동1가 60-315,다목적,2,200,360도 전방면,30,2016-05,051-600-4172,35.10639957,129.0229202,2022-06-08
24,부산광역시 중구청,중구로 121,대청동4가 12-9,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.11105005,129.0360242,2022-06-08
25,부산광역시 중구청,중구로91번길 6,대청동4가 35-3,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.11442246,129.0344017,2022-06-08
26,부산광역시 중구청,흑교로78번안길 25-1,보수동1가 33-63,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10780626,129.0295523,2022-06-08
27,부산광역시 중구청,흑교로 5,부평동3가 54,다목적,1,200,360도 전방면,30,2014-05,051-600-4172,35.11173171,129.0312772,2022-06-08
28,부산광역시 중구청,망양로358번길 1,영주동 293-17,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10824308,129.032954,2022-06-08
29,부산광역시 중구청,대영로242번길 6,영주동 585,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10376295,129.022583,2022-06-08
30,부산광역시 중구청,광복로55번길 1,창선동1가 30-6,다목적,2,200,360도 전방면,30,2012-06,051-600-4172,35.11053537,129.0318967,2022-06-08
31,부산광역시 중구청,동영로 87-1,영주동 95-13,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10115371,129.0361114,2022-06-08
32,부산광역시 중구청,중앙대로81번길 10-3,중앙동4가 41,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.11132497,129.0342501,2022-06-08
33,부산광역시 중구청,법수길 21,보수동1가 59-75,다목적,1,200,360도 전방면,30,2027-02,051-600-4172,35.10069548,129.0311963,2022-06-08
34,부산광역시 중구청,자갈치로48번길 3,남포동5가 104-1,다목적,2,200,360도 전방면,30,2012-06,051-600-4172,35.10000343,129.0352757,2022-06-08
35,부산광역시 중구청,중구로91번길 14,대청동4가 46-17,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10457839,129.0302969,2022-06-08
36,부산광역시 중구청,복병산길 9-3,대청동1가 9-83,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10742179,129.0359252,2022-06-08
37,부산광역시 중구청,중앙대로42번길 2,중앙동6가 15,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10652056,129.0243093,2022-06-08
38,부산광역시 중구청,비프광장로 33-1,남포동3가 3-1,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10169468,129.0253391,2022-06-08
39,부산광역시 중구청,영주로 24,영주동 292-5,다목적,1,200,360도 전방면,30,2012-06,051-600-4172,35.10185327,129.0350235,2022-06-08
40,부산광역시 중구청,동영로22번길 72,영주동 488-1,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10765135,129.0329875,2022-06-08
41,부산광역시 중구청,초량상로7번길 20-2,영주동 73-14,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10536463,129.0307024,2022-06-08
42,부산광역시 중구청,망양로 371-7,영주동 239-24,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10739633,129.024967,2022-06-08
43,부산광역시 중구청,광복로18번길 5-1,부평동1가 42-50,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.09999657,129.0247094,2022-06-08
44,부산광역시 중구청,초량중로5번길 1,영주동 51-1,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10904997,129.0312676,2022-06-08
